epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,0.0001,1.0323546613965715,0.2922416681578619,1.1179469653538294,0.028016408891011577,0.05410519869765046
1,0.0001,0.945690373579661,0.4057826904099821,1.0690539564405168,2.0817220399872097e-10,4.163444077325539e-10
2,0.0001,0.9072547838801429,0.45456587845729585,1.064341976529076,2.0817220399872097e-10,4.163444077325539e-10
3,0.0001,0.8858192052159991,0.4755349897132404,1.0204429002035231,0.10521965682506286,0.1842406987704393
4,0.0001,0.8582535471235003,0.5179872656515998,0.9193952424185616,0.440823419521537,0.6051267385566494
5,0.0001,0.8488850451651073,0.5102753114564954,0.9512249231338501,0.3941009192186234,0.5598953474900797
6,0.0001,0.8373628826368422,0.5222581268887344,0.8824339310328165,0.4730107732443184,0.6390301558631672
7,0.0001,0.8256531130699885,0.5272324087762813,0.9515014943622407,0.3889439069484288,0.5573509791802076
8,0.0001,0.8200059675035023,0.5468382845655367,0.9178983256930396,0.4090597185877117,0.5767795407622595
9,0.0001,0.8041143388975234,0.5563333456892292,0.88212137562888,0.477408957431821,0.6408809937082998
10,0.0001,0.8008083388918922,0.5509237062545532,0.8461107583273024,0.5075314060212502,0.6704048500728396
11,0.0001,0.7954711545081365,0.5570280116096589,0.9257701294762748,0.39250608168229073,0.5614520920019717
12,0.0001,0.7912648973010835,0.5536917543310539,0.8920667739141555,0.46091388890111884,0.6274133610265858
13,0.0001,0.78045540196555,0.5783034875039241,0.861689221291315,0.49899508266202314,0.6604937811759571
14,0.0001,0.7863092564401173,0.5483341821633834,0.8625618957337879,0.4465855368277313,0.6140237347105277
15,0.0001,0.7839326631455195,0.555711894931043,0.8374458664939517,0.5189456264254153,0.6784888888885249
16,0.0001,0.7697821316264924,0.5618980069116374,0.8385214692070371,0.5239758691114391,0.6825860480791514
17,0.0001,0.7593340504737127,0.581323439138336,0.8268324988228934,0.5249178848413593,0.6830433612778158
18,0.0001,0.76099807875497,0.5777769481677654,0.8419011178470793,0.5011563524955909,0.6613643214643223
19,0.0001,0.7557442017963955,0.5791786740954998,0.8831522862116495,0.4323670302377077,0.6024104810651105
20,0.0001,0.7480906929288592,0.5942262964105988,0.8076291226205372,0.5331192214365656,0.6920634835508321
21,0.0001,0.7480788486344474,0.5790370343395347,0.7846307130086989,0.5534236052742415,0.7090480492762121
22,0.0001,0.735727574144091,0.5984255494121303,0.8208048741022745,0.5107143736111306,0.6705043169995163
23,0.0001,0.7272799242110479,0.6125420259818388,0.8659825325012207,0.4401059388269006,0.6065771652014892
24,0.0001,0.736863150483086,0.5780273486175104,0.8118046068009876,0.5083267753985837,0.6703545730807348
25,0.0001,0.7219490863028026,0.6141051422499022,0.8105740944544474,0.5209190267656376,0.6809467885915369
26,0.0001,0.7187187927109855,0.6033045922452624,0.7988081659589495,0.5250083471315884,0.68599733158068
27,0.0001,0.7202171910376776,0.6056305123193283,0.8031957149505615,0.5245255282291053,0.6838162781555486
